Reg.code;Region;FO;y;x1;x2;x3;x4
1000;Российская федерация;;138508268,6;27794378;1865773,6;8653,6;1828493,1
1001;Центральный федеральный округ;ЦФО;24135019;3578186;;95;482660,8
31;Белгородская область;ЦФО;730562;147214;24972,9;97,5;1921,1
32;Брянская область;ЦФО;285847,9;62255;12971,6;96,1;547,8
33;Владимирская область;ЦФО;392051,8;71513;10304,8;96,1;3767,1
36;Воронежская область;ЦФО;841375,7;264660;20993,9;95,6;6379,8
37;Ивановская область;ЦФО;179633,4;25713;5909,4;96,3;712,8
40;Калужская область;ЦФО;373403,5;92707;13953,4;97,4;9970
44;Костромская область;ЦФО;160705,4;27345;4236,5;87,9;149,5
46;Курская область;ЦФО;364601,7;73745;11495,8;94,6;2762,6
48;Липецкая область;ЦФО;470239,3;116134;12944,3;96,7;410,5
50;Московская область;ЦФО;3565258;623918;86059,8;95,6;111318,2
57;Орловская область;ЦФО;213924;47981;7032,5;92,9;526
62;Рязанская область;ЦФО;336973,5;54190;8772,9;97,9;2206,9
67;Смоленская область;ЦФО;262318;55043;7401,5;96,6;1323,9
68;Тамбовская область;ЦФО;311433,4;117641;14139,5;90,6;2182,6
69;Тверская область;ЦФО;359345,1;73462;9463,8;87,3;4690
71;Тульская область;ЦФО;517740,8;105629;12478,8;88,5;4224,7
76;Ярославская область;ЦФО;469804,9;75437;10181,9;94,4;6782,1
77;г. Москва;ЦФО;14299800,6;1543601;409048,5;100;322785,1
1002;Северо-Западный федеральный округ;СЗФО;7803750,5;1437479;;95,1;128182,7
10;Республика Карелия;СЗФО;233449,8;32738;4509,9;98,6;1050,7
11;Республика Коми;СЗФО;546895,3;169936;8225,8;94,4;2400,1
29;Ненецкий автономный округ;СЗФО;255496,6;114503;10271,5;96,1;65,2
83;Архангельская область без автономного округа;СЗФО;427863,4;57718;10004,9;90,8;1405,7
35;Вологодская область;СЗФО;486211,3;87114;18127,1;97,1;377,3
39;Калининградская область;СЗФО;383079,2;69015;23431,5;93,7;1146,8
47;Ленинградская область;СЗФО;913825,7;225915;6477,4;97;7587,1
51;Мурманская область;СЗФО;425831,2;100418;5005,6;94,9;2513,4
53;Новгородская область;СЗФО;244501,2;69336;5916;93,9;1587,8
60;Псковская область;СЗФО;144414,4;27363;92892,7;95,5;337,1
78;г. Санкт-Петербург;СЗФО;3742182,4;483423;4270,1;95,8;109711,5
1003;Южный федеральный округ;ЮФО;4896268,6;1296200;;86,6;26618,8
1;Республика Адыгея;ЮФО;91352,4;15756;3067,1;95,4;202,4
8;Республика Калмыкия;ЮФО;56045,1;16605;2031,9;92,3;75,3
23;Республика Крым;ЮФО;315918,5;47582;30646,5;99,4;1235,9
30;Краснодарский край;ЮФО;2015934,7;586903;35062,9;87,3;6792
34;Астраханская область;ЮФО;338679,5;113169;4587,8;88,2;563,1
61;Волгоградская область;ЮФО;743283,7;200191;17900,4;78,4;3417,7
1004;Ростовская область;ЮФО;1270891,5;309436;30147,4;89,5;13682,2
5;г. Севастополь;ЮФО;64163,2;6558;3458,1;85,5;650,2
6;Северо-Кавказский федеральный округ;СКФО;1797972,3;475857;;94,6;4291,9
7;Республика Дагестан;СКФО;597096,7;197572;12923,2;93,9;969,5
9;Республика Ингушетия;СКФО;50882,9;19759;3494,5;100;78,1
15;Кабардино-Балкарская Республика;СКФО;132706,9;28328;6155,6;89,4;489,5
20;Карачаево-Черкесская Республика;СКФО;73151,3;19648;4294,1;85,9;602,9
26;Республика Северная Осетия – Алания;СКФО;125498,3;25457;2280,1;90,7;394,8
1005;Чеченская Республика;СКФО;166711,2;58844;7744,5;98,1;285,7
2;Ставропольский край;СКФО;651925;126250;16494;99,1;1471,6
12;Приволжский федеральный округ;ПФО;10375870,2;2463346;;91,2;138049,2
13;Республика Башкортостан;ПФО;1344360,1;317764;30683,1;98,5;8329,7
16;Республика Марий Эл;ПФО;160464;40332;5702,3;94,7;144,5
18;Республика Мордовия;ПФО;198132,8;52751;10547,4;85,4;823,1
21;Республика Татарстан;ПФО;1937637,1;617128;73897,4;96,4;12202,2
59;Удмуртская Республика;ПФО;540115;81846;10721;97;1107
43;Чувашская Республика;ПФО;261574,3;55725;8748,5;91,2;1377,3
52;Пермский край;ПФО;1091268,7;226214;18328;93,7;12944,6
56;Кировская область;ПФО;290990,3;55760;9562,4;80,5;1422,7
58;Нижегородская область;ПФО;1182265;235067;29472,2;97,6;65584,1
63;Оренбургская область;ПФО;772107,3;169243;16541,5;97,4;646,6
64;Пензенская область;ПФО;338589;89042;9709;97,2;3645,2
73;Самарская область;ПФО;1275063,6;302884;28955;76,1;17353,3
1006;Саратовская область;ПФО;655053,7;140129;14665,4;91,4;3577,7
45;Ульяновская область;ПФО;328249,3;79461;7733,9;92,2;8891
66;Уральский федеральный округ;УФО;9354739,3;2357901;;93,3;55432,7
72;Курганская область;УФО;193895,1;27842;6316,8;75,6;291,7
86;Свердловская область;УФО;1978055,7;349964;30211,5;97,1;26259,1
89;Ханты-Мансийский автономный округ – Югра;УФО;3031163,3;766070;55724,2;97,5;2805,9
74;Ямало-Ненецкий автономный округ;УФО;1963870,5;779406;21692,6;95,7;136,3
